Id,Year,Location,Lat,Long,Status,Sex,Population,Details
BJF,2000,"Beijing Zoo, Beijing, CN",39.938864,116.33955,Living Female,Female,From the Red River basin in Yunnan Province,She was previously recognized as Yuan (Pelochelys cantorii) but was verified as Rafetus swinhoei around 2004. She died in 2005.
BJF,2001,"Beijing Zoo, Beijing, CN",39.938864,116.33955,Living Female,Female,From the Red River basin in Yunnan Province,She was previously recognized as Yuan (Pelochelys cantorii) but was verified as Rafetus swinhoei around 2004. She died in 2005.
BJF,2002,"Beijing Zoo, Beijing, CN",39.938864,116.33955,Living Female,Female,From the Red River basin in Yunnan Province,She was previously recognized as Yuan (Pelochelys cantorii) but was verified as Rafetus swinhoei around 2004. She died in 2005.
BJF,2003,"Beijing Zoo, Beijing, CN",39.938864,116.33955,Living Female,Female,From the Red River basin in Yunnan Province,She was previously recognized as Yuan (Pelochelys cantorii) but was verified as Rafetus swinhoei around 2004. She died in 2005.
BJF,2004,"Beijing Zoo, Beijing, CN",39.938864,116.33955,Living Female,Female,From the Red River basin in Yunnan Province,She was previously recognized as Yuan (Pelochelys cantorii) but was verified as Rafetus swinhoei around 2004. She died in 2005.
BJF,2005,"Beijing Zoo, Beijing, CN",39.938864,116.33955,Living Female,Female,From the Red River basin in Yunnan Province,She was previously recognized as Yuan (Pelochelys cantorii) but was verified as Rafetus swinhoei around 2004. She died in 2005.
SHF,2000,"Shanghai Zoo, Shanghai, CN",31.1925448,121.3580701,Living Female,Female,From the Red River basin in Yunnan Province,"Originally rescued by Baohua (Gejiu) Park in Yunan, exchanged to Shanghai Zoo. She died in 2006."
SHF,2001,"Shanghai Zoo, Shanghai, CN",31.1925448,121.3580701,Living Female,Female,From the Red River basin in Yunnan Province,"Originally rescued by Baohua (Gejiu) Park in Yunan, exchanged to Shanghai Zoo. She died in 2006."
SHF,2002,"Shanghai Zoo, Shanghai, CN",31.1925448,121.3580701,Living Female,Female,From the Red River basin in Yunnan Province,"Originally rescued by Baohua (Gejiu) Park in Yunan, exchanged to Shanghai Zoo. She died in 2006."
SHF,2003,"Shanghai Zoo, Shanghai, CN",31.1925448,121.3580701,Living Female,Female,From the Red River basin in Yunnan Province,"Originally rescued by Baohua (Gejiu) Park in Yunan, exchanged to Shanghai Zoo. She died in 2006."
SHF,2004,"Shanghai Zoo, Shanghai, CN",31.1925448,121.3580701,Living Female,Female,From the Red River basin in Yunnan Province,"Originally rescued by Baohua (Gejiu) Park in Yunan, exchanged to Shanghai Zoo. She died in 2006."
